Year	Return (Total)
1926	0.1162
1927	0.3749
1928	0.4361
1929	-0.0842
1930	-0.249
1931	-0.4334
1932	-0.0819
1933	0.5399
1934	-0.0144
1935	0.4767
1936	0.3392
1937	-0.3503
1938	0.3112
1939	-0.0041
1940	-0.0978
1941	-0.1159
1942	0.2034
1943	0.259
1944	0.1975
1945	0.3644
1946	-0.0807
1947	0.0571
1948	0.055
1949	0.1879
1950	0.3171
1951	0.2402
1952	0.1837
1953	-0.0099
1954	0.5262
1955	0.3156
1956	0.0656
1957	-0.1078
1958	0.4336
1959	0.1196
1960	0.0047
1961	0.2689
1962	-0.0873
1963	0.228
1964	0.1648
1965	0.1245
1966	-0.1006
1967	0.2398
1968	0.1106
1969	-0.085
1970	0.0401
1971	0.1431
1972	0.1898
1973	-0.1466
1974	-0.2647
1975	0.372
1976	0.2384
1977	-0.0718
1978	0.0656
1979	0.1844
1980	0.3242
1981	-0.0491
1982	0.2141
1983	0.2251
1984	0.0627
1985	0.3216
1986	0.1847
1987	0.0523
1988	0.1681
1989	0.3149
1990	-0.0317
1991	0.3045
1992	0.0762
1993	0.1006
1994	0.013
1995	0.3755
1996	0.2297
1997	0.3335
1998	0.2856
1999	0.2102
2000	-0.0913
2001	-0.1192
2002	-0.221
2003	0.2866
2004	0.1088
2005	0.0491
2006	0.1578
2007	0.0543
2008	-0.3699
2009	0.2641
2010	0.1479
2011	0.0214
2012	0.1595
2013	0.3249
2014	0.137
2015	0.014
2016	0.12
2017	0.218
2018	-0.0438
